305nm,,280nm_bp,,280nm,,
Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,
582.9758301,88.77636719,582.9758301,-0.01735282503,582.9758301,88.75881195,
581.9334106,88.78526306,581.9334106,-0.03623376042,581.9334106,88.70803833,
581.0397339,88.77777863,581.0397339,0.02596840449,581.0397339,88.81630707,
579.9968262,88.80744934,579.9968262,-0.01015125401,579.9968262,88.80136108,
578.9536743,88.86406708,578.9536743,-0.01536649093,578.9536743,88.85762024,
578.0592651,88.96768951,578.0592651,-0.02545454539,578.0592651,88.85180664,
577.015625,88.97164154,577.015625,0.01999360323,577.015625,88.90939331,
575.9716187,89.0721283,575.9716187,0.01371679362,575.9716187,88.92966461,
574.9274292,89.07310486,574.9274292,-0.02548744716,574.9274292,88.9499588,
574.0321655,89.1823349,574.0321655,0.0258933194,574.0321655,89.0169754,
572.9874268,89.17079163,572.9874268,0.003910374362,572.9874268,89.10772705,
571.9424438,89.17423248,571.9424438,-0.02655572258,571.9424438,89.14496613,
571.0465088,89.26065826,571.0465088,0.00877770409,571.0465088,89.15036011,
570.0009766,89.21101379,570.0009766,-0.005277880467,570.0009766,89.23535919,
568.9552002,89.33990479,568.9552002,0.01686269604,568.9552002,89.29885101,
568.0585938,89.33677673,568.0585938,0.06838074327,568.0585938,89.21714783,
567.0123291,89.43956757,567.0123291,-0.02554197051,567.0123291,89.27896118,
565.9658203,89.43528748,565.9658203,0.06166857854,565.9658203,89.33490753,
565.0685425,89.4727478,565.0685425,0.04438526556,565.0685425,89.44421387,
564.0215454,89.55667114,564.0215454,-0.00480861729,564.0215454,89.42709351,
562.9742432,89.66837311,562.9742432,0.01456717309,562.9742432,89.52445984,
561.9266968,89.71273804,561.9266968,-0.02173534967,561.9266968,89.52948761,
561.0285645,89.80594635,561.0285645,-0.003866677172,561.0285645,89.6689682,
559.9804688,89.77732849,559.9804688,0.04395158589,559.9804688,89.71053314,
558.9321899,89.87973022,558.9321899,-0.0370782353,558.9321899,89.74980927,
558.0333862,89.98022461,558.0333862,-0.05774148181,558.0333862,89.81195068,
556.9845581,90.03450012,556.9845581,0.02664416656,556.9845581,89.86801147,
555.9354858,90.1286087,555.9354858,0.02585816756,555.9354858,89.99468231,
555.0360718,90.16383362,555.0360718,-0.01193459798,555.0360718,89.99093628,
553.9865112,90.19651794,553.9865112,0.01456717309,553.9865112,90.05473328,
552.9367065,90.26030731,552.9367065,0.03882615641,552.9367065,90.0901947,
552.0366821,90.33361816,552.0366821,0.01318009291,552.0366821,90.1624527,
550.9863281,90.31809235,550.9863281,-0.03297790512,550.9863281,90.2574234,
549.935791,90.42510223,549.935791,-0.002644662978,549.935791,90.28305817,
549.0350952,90.49721527,549.0350952,0.009822217748,549.0350952,90.27415466,
547.9840698,90.51176453,547.9840698,-0.02989238687,547.9840698,90.42036438,
546.9327393,90.59571075,546.9327393,-0.009692270309,546.9327393,90.43470001,
546.0314331,90.6421814,546.0314331,0.02150229365,546.0314331,90.37721252,
544.9796143,90.71018982,544.9796143,0.00939982105,544.9796143,90.48879242,
543.9276123,90.7042923,543.9276123,-0.003068049438,543.9276123,90.55138397,
543.0256348,90.67617798,543.0256348,0.007346998435,543.0256348,90.53239441,
541.9730835,90.75427246,541.9730835,-0.009632674046,541.9730835,90.62442017,
541.0707397,90.75934601,541.0707397,0.01885665767,541.0707397,90.58681488,
540.0177612,90.76268768,540.0177612,0.009023235179,540.0177612,90.54632568,
538.9644775,90.65062714,538.9644775,-0.009446885437,538.9644775,90.57655334,
538.0615234,90.68615723,538.0615234,0.008368900977,538.0615234,90.53150177,
537.0078125,90.66432953,537.0078125,-0.02663926594,537.0078125,90.50954437,
535.9537964,90.61688995,535.9537964,-0.03117068298,535.9537964,90.38804626,
535.0502319,90.54492188,535.0502319,0.009323719889,535.0502319,90.34968567,
533.9957886,90.42790222,533.9957886,-0.002491156338,533.9957886,90.31820679,
532.9411011,90.40159607,532.9411011,-0.007086921018,532.9411011,90.0575943,
532.0368652,90.20763397,532.0368652,-0.02726446465,532.0368652,90.06307983,
530.9816895,90.07250977,530.9816895,-0.03064899333,530.9816895,89.88048553,
529.9262695,89.9080658,529.9262695,0.007003782317,529.9262695,89.82678986,
529.0214233,89.79788971,529.0214233,0.01112408936,529.0214233,89.65351868,
527.9655762,89.72084045,527.9655762,0.02210363373,527.9655762,89.40283966,
527.0603027,89.54154205,527.0603027,0.002750955988,527.0603027,89.31477356,
526.0039673,89.39044952,526.0039673,-0.01273925882,526.0039673,89.17209625,
524.9473877,89.16524506,524.9473877,0.003761095228,524.9473877,89.02804565,
524.0415649,89.00202179,524.0415649,0.02824858762,524.0415649,88.77635956,
522.9844971,88.79370117,522.9844971,0.01435131952,522.9844971,88.61167145,
521.9271851,88.60310364,521.9271851,-0.00552913826,521.9271851,88.41127777,
521.020752,88.33015442,521.020752,-0.01157876477,521.020752,88.14652252,
519.9630127,88.17562103,519.9630127,0.02928772382,519.9630127,87.9594574,
519.0561523,88.03726196,519.0561523,0,519.0561523,87.9111557,
517.9979858,87.89453888,517.9979858,0.005358195398,517.9979858,87.6259079,
516.9395142,87.63184357,516.9395142,0.005856172182,516.9395142,87.5714035,
516.0320435,87.5952301,516.0320435,0.01437883452,516.0320435,87.34344482,
514.9731445,87.34497833,514.9731445,-0.02005615644,514.9731445,87.06262207,
514.0653687,87.23590088,514.0653687,0.02902196161,514.0653687,86.9416275,
513.0059814,87.14173126,513.0059814,-0.005857201759,513.0059814,86.95162201,
